7170 5330.4 5 9.81858 0.918465 2800.13 139.294 276.469 16590.7  285.187 0.231305 14.1867 0.0515895 28.1578 0.0726807 1689.73 0.563026
7171 3067.8 5 19.4871 0.914599 6053.39 268.213 554.377 34122.2  310.636 0.318209 13.7636 0.0669812 28.4484 0.0962976 1751.01 0.755495
7172 3132.99 5 28.3544 0.347119 9683.11 398.194 834.806 51928.4  341.503 0.330155 14.0435 0.0669511 29.4418 0.09694 1831.41 0.764562
7174 5804.52 5 51.0055 1 21025.3 729.102 1573.83 103004  412.216 0.266489 14.2946 0.0496252 30.856 0.0729099 2019.47 0.589842
