7570 5330.4 5 9.81858 0.918465  139.294 16590.7 19.9898 14.1867 0.0515895 1689.73 0.563026 2.03592 0.0583631 
7571 8310.9 5 18.8584 0.708126  262.085 33004.6 38.3565 13.8975 0.0408926 1750.13 0.458892 2.03392 0.0270945 
7572 13680.6 5 29.2404 0.655831  409.599 53603.2 58.9598 14.008 0.0319989 1833.19 0.366059 2.01638 0.0172259 
7574 57636.2 5 50.1034 0.913503  714.171 101302 100.522 14.2539 0.0157261 2021.85 0.187295 2.00629 0.0177413 
7571 7951.12 20 19.7646 0.646411  274.381 34640.1 40.951 13.8824 0.0417849 1752.64 0.469496 2.07194 0.0281624 0.971214
7574 56497.9 50 51.5469 0.870387  734.862 104400 105.082 14.2562 0.0158849 2025.34 0.189336 2.03858 0.018215 0.952826
