7570 5347.05 5 9.77553 0.925392  275.235 16515.9 4.52733 28.1555 0.0725645 1689.52 0.562114 0.463128 0.0395183
7571 8265.17 5 19.4774 0.68185  554.388 34128.1 8.11864 28.4632 0.0586835 1752.19 0.460431 0.416824 0.0126809
7572 13677.9 5 29.3584 0.653063  858.301 53822.6 11.9054 29.2353 0.0462322 1833.29 0.366106 0.405519 0.012594
7574 57618 5 50.2704 0.910183  1546.21 101641 22.321 30.7578 0.0231046 2021.89 0.187326 0.44402 0.0118614
