1703 4.36081 0.0121911 -1.01568 0.00254815 0.00273722 0.000239924
1778 3.95269 0.0818998 -1.01452 0.0154562 0.00535576 0.00176749
1796 4.00152 0.0464782 -1.00308 0.00918073 0.000950178 0.0009566
2258 3.49901 0.0810301 -0.977925 0.0118323 0.000586984 0.0014017
normal  1.65424 0.00809598 -0.956107 0.00112624 9.14964e-05 0.000173369
p0.15  4.01745 0.00761827 -0.973305 0.00180039 0.000146627 0.000181429

1703 3.25118 0.0457622 -0.753955 0.00532805 -0.00260297 0.000635586
1778 3.14919 0.126502 -0.759705 0.013656 -0.0025739 0.00156622
1796 2.7621 0.0326508 -0.757496 0.00362153 8.97643e-05 0.000401462
2258 2.63789 0.0562081 -0.748324 0.00515908 -0.00192689 0.000623194
normal  0.665003 0.00691115 -0.73719 0.000856812 -0.000662225 0.000107674
p0.15  2.48457 0.00721485 -0.74413 0.000933103 -0.000933658 0.000107892

1703 2.03832 0.0664869 -0.534231 0.00553685 -0.00155309 0.000664941
1778 1.87398 0.0450386 -0.537321 0.00402821 -0.00158157 0.000474094
1796 1.84586 0.0800833 -0.515193 0.00793821 -0.00241919 0.000892058
2258 1.63026 0.0345772 -0.52118 0.00334971 -0.00219736 0.000393175
normal  0.167892 0.00687248 -0.5191 0.000863777 -0.00166262 0.000101822
p0.15  1.44374 0.00693202 -0.51839 0.000876454 -0.00189705 0.000103279

1703 1.03653 0.0906916 -0.300697 0.00822888 -0.00208721 0.000973756
1778 1.00716 0.041837 -0.284411 0.00349491 -0.00419355 0.000411711
1796 1.05717 0.0673267 -0.292798 0.00617057 -0.00367508 0.00078274
2258 0.947092 0.0543751 -0.289414 0.00508669 -0.00328038 0.000609553
normal  0.00761824 0.00720355 -0.303978 0.000868622 -0.00282244 0.000102834
p0.15  0.743187 0.00709373 -0.295099 0.000862573 -0.00291393 0.000102175

1703 0.289191 0.0126667 -0.0606597 0.00122454 -0.00338321 0.000139245
1778 0.244582 0.0631226 -0.0718713 0.00826762 -0.00496481 0.00144703
1796 0.352768 0.0313534 -0.0650887 0.00300695 -0.00439004 0.000349472
2258 0.371956 0.00590237 -0.0583368 0.000514885 -0.00486452 6.26224e-05
normal  -0.00298087 0.00561557 -0.0891461 0.000763263 -0.0037243 8.7875e-05
p0.15  0.200609 0.00567079 -0.0714099 0.000753426 -0.00399212 8.75238e-05

1703 -0.566617 0.0394227 0.163526 0.00355277 -0.0050996 0.000424665
1778 -0.519515 0.0590118 0.163327 0.00604139 -0.00498803 0.000702387
1796 -0.316569 0.0200552 0.163199 0.00202715 -0.00535614 0.000231878
2258 -0.267624 0.0465994 0.172418 0.00448703 -0.00603877 0.000553129
normal  -0.00821937 0.00687116 0.128432 0.000874506 -0.00472683 0.000102834
p0.15  -0.349746 0.00669061 0.155759 0.000872115 -0.00502169 0.00010103

1703 -1.3408 0.0483303 0.392247 0.00490319 -0.0074025 0.000580407
1778 -1.36555 0.0316044 0.384381 0.00330694 -0.00594842 0.000361629
1796 -1.10191 0.0784448 0.400672 0.00820263 -0.00668854 0.000948055
2258 -0.882222 0.0573671 0.406142 0.00584976 -0.00710659 0.000701763
normal  -0.174348 0.00709259 0.353163 0.000887389 -0.00595007 0.000104288
p0.15  -1.07746 0.00729726 0.390104 0.00090256 -0.00627384 0.000106882

1703 -2.34793 0.0736253 0.655448 0.0075022 -0.0092743 0.000868065
1778 -2.35247 0.0606839 0.659819 0.00576703 -0.0098617 0.000733787
1796 -1.96131 0.061808 0.648431 0.00625889 -0.00807365 0.000766476
2258 -1.69285 0.0290026 0.640275 0.00286493 -0.00803378 0.000326382
normal  -0.657083 0.00741926 0.585502 0.000896245 -0.0070841 0.000107115
p0.15  -2.14194 0.00767657 0.631702 0.000968854 -0.00739896 0.000113678

1703 -3.39701 0.0651305 0.854251 0.00978333 -0.0073136 0.0009782
1778 -3.18326 0.0648154 0.853168 0.0106159 -0.00709168 0.00105115
1796 -2.58564 0.108331 0.866125 0.0157504 -0.00962579 0.00167872
2258 -2.46522 0.0475812 0.836405 0.00617703 -0.00658284 0.000670301
normal  -1.60836 0.00636661 0.810476 0.00105092 -0.00704206 0.000108624
p0.15  -3.65365 0.00655157 0.857996 0.00153655 -0.00700335 0.000136535



