!  -7.61033214e-05               0  0.000869054104               0 00000
 ---------------------------------------------
      0.279005911    -0.046726452    0.0204896517     0.667153399 10000
       -1.4205315    0.0894882509  -0.00834311152    -0.265706749 01000
    0.00268109074    -0.743039755    0.0802733812  -0.00128007291 00100
    -0.0573214933      1.32890907     -1.53269579   -0.0894340584 00010
      -0.59528806   -0.0615813286    0.0206116224     -1.95819072 20000
       3.50617277      1.01368806     0.301190718      14.5254699 11000
      -2.61448696     -3.62568103    -0.620681497     -14.7683128 02000
     0.0681655536      4.23561109      1.73221581     -0.67421213 10100
     -0.301947231      -2.8355737      1.21138341       1.6860641 01100
       -0.3297056    -0.404982951   -0.0297963678     -1.06471281 00200
     -0.498583923     -42.7701031     -6.68776649     -0.38616236 10010
       1.84687004      27.2807165     -2.88127582      2.63422556 01010
      0.595797724      3.02091118       1.8863826      1.82692667 00110
     -0.332571664     -2.66784659     -2.94367476      2.16863555 00020
       3.22656787    -0.972794418     0.208550709      6.95241266 30000
      -29.6488433      4.80831878     -1.32284047     -71.1762972 21000
       75.9518268      -12.504416      4.54896895      218.345425 12000
      -44.2130121      -1.7400543     0.652731281     -149.452012 03000
       1.35274515     -23.0177786     -2.23370126    -0.131920908 20100
      -6.00716778      144.570771     -19.7665859      31.2372059 11100
       2.82213435     -179.268583      20.2063358     -101.143387 02100
        4.3736661     -1.14906256    -0.320902511      10.8913494 10200
      -10.0255972      13.3916006      3.00690515    -0.267031569 01200
      0.176621307      2.53681742       2.6879627    -0.170683087 00300
     -0.491530305      238.893561      77.7094794     -16.8303129 20010
      -6.24361482      -1540.2991     -43.2109936     -67.3108236 11010
       12.7473686      2114.55938      104.816714      322.020556 02010
       -22.720256      -3.6185284      7.83507975     -182.352086 10110
       27.3793344     -113.468448     -56.2625446      240.872342 01110
        -5.330584      3.70530557      -1.2568874     -5.74748554 00210
       32.1078297      55.6267092      20.6482929      460.460434 10020
      -253.422548      157.066647       111.32039      -1535.5001 01020
       18.7856818     -333.285913      -60.857311      3.60570705 00120
        9.1576691      1432.27731      162.179302      60.5709952 00030
